Series,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Lower middle income,LMC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Middle East & North Africa,MEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Middle income,MIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,OECD members,OED,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Other small states,OSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Post-demographic dividend,PST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Pre-demographic dividend,PRE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Small states,SST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,South Asia,SAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Upper middle income,UMC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,World,WLD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,26.45362,..,..,..,..,..,..,27.17961,..,..,27.09995,32.0965,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.64349,..,15.23721,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,13.58852,21.86434,16.31566,18.46704,..,..,..,..,..,..,..,14.3931,14.40818,14.40731,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.29199,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,23.1615,..,28.53579,..,..,29.77973,..,31.65788,31.3979,31.95647,32.57892,33.54862,34.38868,34.37339,35.09132,34.7222,..,36.69257,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,38.50213,..,..,..,..,..,..,..,..,..,41.79843,..,..,..,39.78597,..,41.91334,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.99897,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.93674,24.21207,24.0478,24.65121,24.35452,24.39988,25.46291,26.06788,24.93192,24.36286,27.3663,23.40471,23.87797,23.11795,23.25716,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.03558,..,44.298,43.3007,45.16026,45.47746,45.32424,45.50583,44.99922,44.92984,45.29448,45.24848,44.58102,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,52.49381,..,..,..,..,..,..,..,51.17025,51.06497,59.8447,59.49049,59.46148,59.39558,59.35336,59.33221,59.32957,59.28603,59.1016,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,54.19731,..,..,..,..,..,..,..,..,..,47.41161,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,34.01848,..,..,..,..,..,..,..,..,21.64861,..,..,..,..,..,22.75053,23.79373,26.77319,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,9.87466,..,..,..,..,..,..,..,..,..,12.23692,12.61202,11.0993,11.49338,13.81184,13.85012,14.28434,14.55859,14.85225,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,8.32815,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.33346,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.48326,..,28.59471,28.92848,28.05256,28.82678,28.73899,29.61671,29.56874,30.87131,31.14795,30.57051,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.62311,..,..,..,..,19.57939,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,7.62742,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,30.65997,..,..,..,..,..,..,..,..,..,25.02003,..,..,..,..,..,31.33312,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.03316,..,..,..,..,5.72588,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Bolivia,BOL,..,..,13.2,..,..,..,..,..,..,..,..,17.28203,..,..,..,..,11.26998,..,13.52731,13.36308,..,..,16.20255,..,..,16.83924,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.89898,21.20575,..,..,37.4263,39.6895,40.45695,..,42.02197,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.87047,..,24.40829,24.89787,25.86688,26.75596,25.00621,28.29667,28.99427,29.76304,29.82821,30.63631,29.91174,30.66114,31.21395,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,British Virgin Islands,VGB,..,6.84039,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.27767,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,38.27438,..,..,..,..,40.9134,42.91271,43.24708,43.45105,44.32469,45.2556,45.95942,45.92595,44.88258,45.46758,46.00218,46.86156,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2966,0.05815,..,..,..,..,..,..,1.57192,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.82409,..,..,..,..,..,1.50976,..,..,2.78499,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.49135,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.35421,0.659,2.35037,..,..,..,..,2.61503,1.94127,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.65413,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Canada,CAN,..,28.07126,..,..,..,..,..,..,..,..,..,16.35777,..,..,..,..,24.92323,..,..,..,..,24.11767,..,..,..,..,24.45686,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.01795,43.18503,44.85861,24.97292,30.88939,..,..,..,..,..,32.85778,34.37975,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.72705,..,..,..,..,1.20018,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.24548,..,..,35.9915,30.6626,..,33.92853,34.91649,..,35.30364,..,36.61109,..,36.30407,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.59678,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.18136,18.35145,20.09221,21.67231,22.46494,22.82717,23.18793,23.68904,23.78158,24.18206,24.35965,25.31047,26.69464,..,28.24245,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.65779,..,..,11.84542,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.4252,16.04735,15.8029,15.86652,16.1844,16.82918,..,16.83383,16.26511,16.78566,..,17.2957,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,6.86155,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.5103,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Croatia,HRV,..,31.6,..,..,..,..,..,..,..,..,..,37.43895,..,..,..,..,..,..,..,..,..,44.7842,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,30.64143,..,..,..,..,..,..,..,..,..,25.16745,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is upper secondary, female",UIS.EA.3.AG25T99.F,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.54873,27.875,29.64184,29.46468,30.02688,29.70609,29.46649,30.17752,29.8525,30.96254,29.15726,28.86561,29.14596,..,29.85339,..,..
